timestamp,time_s,disp_mm,disp_ul,raw_V,avg_V
2026-06-12T17:47:02.551050,1.184317,2.368634,41.620775,0.976790,0.945975
2026-06-12T17:47:02.563233,1.194513,2.389027,41.979109,0.975178,0.945330
2026-06-12T17:47:02.571365,1.204393,2.408787,42.326318,0.941322,0.947771
2026-06-12T17:47:02.583185,1.215192,2.430385,42.705837,0.941645,0.956062
2026-06-12T17:47:02.591922,1.225269,2.450538,43.059962,0.969374,0.961774
2026-06-12T17:47:02.602349,1.235509,2.471019,43.419839,0.981627,0.965229
2026-06-12T17:47:02.614771,1.246574,2.493148,43.808686,0.986141,0.967440
2026-06-12T17:47:02.625569,1.257083,2.514166,44.178006,0.986786,0.968868
2026-06-12T17:47:02.634075,1.267088,2.534177,44.529629,0.962926,0.967117
2026-06-12T17:47:02.645938,1.277379,2.554758,44.891274,0.903597,0.961728
2026-06-12T17:47:02.658435,1.288902,2.577803,45.296216,0.936808,0.961037
2026-06-12T17:47:02.666601,1.298550,2.597100,45.635292,0.969374,0.961037
2026-06-12T17:47:02.675709,1.309063,2.618126,46.004746,0.981627,0.961037
2026-06-12T17:47:02.688930,1.319832,2.639664,46.383211,0.985819,0.960991
2026-06-12T17:47:02.697616,1.329713,2.659426,46.730455,0.978725,0.959839
2026-06-12T17:47:02.710455,1.341016,2.682032,47.127693,0.946481,0.957490
2026-06-12T17:47:02.717562,1.350728,2.701455,47.468987,0.967117,0.966565
2026-06-12T17:47:02.730802,1.361224,2.722448,47.837865,0.982272,0.973059
2026-06-12T17:47:02.738244,1.371539,2.743078,48.200371,0.988398,0.975777
2026-06-12T17:47:02.750093,1.382904,2.765809,48.599782,0.988398,0.976744
2026-06-12T17:47:02.758924,1.392260,2.784521,48.928578,0.987431,0.976975
2026-06-12T17:47:02.771061,1.402270,2.804539,49.280338,0.977113,0.976744
2026-06-12T17:47:02.779607,1.412811,2.825623,49.650811,0.972599,0.980475
2026-06-12T17:47:02.791538,1.423143,2.846287,50.013912,0.980982,0.982456
2026-06-12T17:47:02.800486,1.433393,2.866785,50.374105,0.983239,0.982594
2026-06-12T17:47:02.813339,1.444368,2.888736,50.759806,0.983562,0.981903
2026-06-12T17:47:02.822062,1.454796,2.909592,51.126284,0.965828,0.978679
2026-06-12T17:47:02.833167,1.465913,2.931827,51.516989,0.974533,0.976837
2026-06-12T17:47:02.841579,1.475586,2.951172,51.856919,0.979048,0.977113
2026-06-12T17:47:02.855072,1.485830,2.971659,52.216913,0.977758,0.977850
2026-06-12T17:47:02.863302,1.496207,2.992414,52.581612,0.982272,0.978034
2026-06-12T17:47:02.874861,1.505909,3.011818,52.922572,0.967440,0.975777
2026-06-12T17:47:02.883151,1.516397,3.032793,53.291134,0.948416,0.970756
2026-06-12T17:47:02.893118,1.526669,3.053339,53.652154,0.970019,0.971355
2026-06-12T17:47:02.905107,1.537151,3.074302,54.020504,0.977435,0.971770
2026-06-12T17:47:02.916496,1.547415,3.094831,54.381236,0.978080,0.971631
2026-06-12T17:47:02.924866,1.557902,3.115805,54.749783,0.982272,0.972276
2026-06-12T17:47:02.934285,1.567901,3.135802,55.101167,0.988721,0.973198
2026-06-12T17:47:02.946664,1.578219,3.156438,55.463779,0.981627,0.975224
2026-06-12T17:47:02.954888,1.588302,3.176605,55.818142,0.992912,0.981581
2026-06-12T17:47:02.966406,1.598645,3.197289,56.181597,1.003230,0.986325
2026-06-12T17:47:02.975668,1.608816,3.217633,56.539071,1.002908,0.989964
2026-06-12T17:47:02.988324,1.619069,3.238138,56.899371,0.998716,0.992912
2026-06-12T17:47:02.996932,1.629071,3.258142,57.250874,0.997104,0.995031
2026-06-12T17:47:03.008142,1.640135,3.280269,57.639695,0.996459,0.996137
2026-06-12T17:47:03.017086,1.650881,3.301762,58.017362,0.972921,0.994893
2026-06-12T17:47:03.030308,1.661154,3.322308,58.378382,0.975501,0.992406
2026-06-12T17:47:03.038868,1.671578,3.343156,58.744719,0.989688,0.990471
2026-06-12T17:47:03.050396,1.682156,3.364312,59.116468,0.994202,0.989227
2026-06-12T17:47:03.059244,1.692039,3.384079,59.463793,0.995169,0.988721
